Data,Hora  ,"PRECIPITACAO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m2),"TEMPERATURA DO AR - BULBO SECO, HORARIA (C)",TEMPERATURA DO PONTO DE ORVALHO (C),TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MINIMA NA HORA ANT. (AUT) (C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIRECAO HORARIA (gr) ((gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2020-01-01,0,0.0,884.1,884.2,883.9,0.0,20.0,18.1,20.2,19.6,18.4,17.7,89.0,88.0,89.0,108.0,2.7,0.8
2020-01-01,100,0.0,885.0,885.0,884.1,0.0,19.5,18.1,20.0,19.4,18.4,17.8,91.0,89.0,91.0,272.0,1.4,0.3
2020-01-01,200,0.0,885.5,885.5,885.0,0.0,20.0,18.8,20.1,19.4,18.9,18.1,94.0,91.0,93.0,40.0,1.5,1.1
2020-01-01,300,0.0,885.3,885.5,885.3,0.0,19.5,17.9,20.2,19.4,19.0,17.8,93.0,90.0,91.0,319.0,2.6,1.0
2020-01-01,400,0.0,885.2,885.4,885.2,0.0,19.5,17.3,19.8,19.3,18.2,17.3,92.0,87.0,87.0,321.0,2.7,1.4
2020-01-01,500,0.0,884.5,885.2,884.5,0.0,18.9,17.1,19.6,18.7,17.3,16.9,90.0,86.0,89.0,277.0,2.6,1.3
2020-01-01,600,0.0,884.5,884.6,884.4,0.0,19.1,17.3,19.1,18.8,17.6,17.2,91.0,89.0,89.0,330.0,2.0,1.4
2020-01-01,700,0.0,884.4,884.6,884.4,0.0,19.4,16.5,19.6,19.1,17.3,16.5,89.0,82.0,83.0,346.0,2.8,1.8
2020-01-01,800,0.2,884.7,884.7,884.4,0.0,19.2,16.6,19.8,19.2,16.6,16.2,85.0,80.0,85.0,14.0,2.7,1.6
2020-01-01,900,0.0,884.7,884.8,884.6,3.9,19.3,17.1,19.4,19.0,17.2,16.6,88.0,85.0,87.0,7.0,2.8,1.7
2020-01-01,1000,0.0,885.1,885.1,884.7,241.4,19.6,16.9,19.6,19.2,17.1,16.7,87.0,83.0,84.0,331.0,3.4,2.0
2020-01-01,1100,0.0,885.5,885.5,885.1,525.1,20.5,18.0,20.5,19.6,18.0,16.9,86.0,84.0,85.0,345.0,4.0,1.9
2020-01-01,1200,0.0,885.7,885.7,885.4,1347.0,22.4,18.8,22.6,20.5,19.1,17.9,86.0,79.0,80.0,344.0,3.6,2.0
2020-01-01,1300,0.0,885.8,885.9,885.7,2426.5,24.0,18.6,24.4,22.4,19.7,18.3,82.0,69.0,72.0,347.0,4.6,2.3
2020-01-01,1400,0.0,885.5,885.8,885.4,2016.9,22.8,19.0,25.2,22.8,19.2,17.3,80.0,64.0,79.0,284.0,5.7,2.7
2020-01-01,1500,0.0,885.3,885.5,885.3,965.7,21.6,18.6,23.9,21.5,19.3,17.5,83.0,70.0,83.0,158.0,5.0,2.4
2020-01-01,1600,0.2,884.1,885.3,884.1,1865.6,24.6,18.2,24.7,21.6,20.1,17.3,85.0,67.0,67.0,141.0,3.9,1.4
2020-01-01,1700,0.0,883.7,884.2,883.7,1638.7,24.5,17.7,25.0,24.3,18.6,17.4,69.0,64.0,66.0,131.0,3.6,0.9
2020-01-01,1800,0.0,883.2,884.0,883.2,301.7,20.0,17.5,24.5,20.0,18.3,16.3,86.0,66.0,86.0,263.0,8.9,2.5
2020-01-01,1900,0.0,882.3,883.2,882.3,629.9,22.3,17.5,22.3,20.0,18.1,17.3,86.0,73.0,74.0,217.0,4.8,0.8
2020-01-01,2000,0.0,882.0,882.3,882.0,605.0,23.9,15.2,23.9,22.3,17.8,15.0,75.0,58.0,58.0,323.0,2.0,0.4
2020-01-01,2100,0.0,881.8,882.0,881.7,582.6,23.9,17.1,24.3,23.3,17.4,14.8,69.0,56.0,66.0,347.0,1.9,0.5
2020-01-01,2200,0.0,882.4,882.4,881.8,72.9,21.7,17.8,24.0,21.6,18.4,17.0,79.0,65.0,79.0,325.0,2.2,1.5
2020-01-01,2300,0.0,883.3,883.3,882.3,0.0,21.7,18.0,21.8,21.0,18.4,17.7,85.0,78.0,80.0,353.0,4.6,2.7
2020-01-02,0,0.0,884.9,884.9,883.3,0.0,20.3,18.3,21.7,20.3,18.4,18.0,88.0,80.0,88.0,324.0,6.7,3.2
2020-01-02,100,0.0,885.5,885.5,884.9,0.0,19.7,18.2,20.3,19.7,18.3,18.2,91.0,88.0,91.0,320.0,6.7,2.3
2020-01-02,200,0.0,885.4,885.6,885.4,0.0,19.7,17.8,19.7,19.6,18.2,17.8,91.0,89.0,89.0,324.0,4.8,2.0
2020-01-02,300,0.0,885.0,885.4,885.0,0.0,19.8,18.1,19.8,19.6,18.1,17.8,90.0,89.0,90.0,322.0,4.8,2.3
2020-01-02,400,0.0,884.4,885.1,884.4,0.0,19.6,18.1,19.8,19.6,18.2,18.1,91.0,90.0,91.0,327.0,4.9,2.8
2020-01-02,500,0.0,883.7,884.4,883.7,0.0,19.4,17.2,19.6,19.4,18.1,17.2,91.0,87.0,87.0,327.0,7.0,3.2
2020-01-02,600,0.0,883.5,883.7,883.5,0.0,19.2,17.5,19.4,19.1,17.5,17.2,90.0,87.0,90.0,320.0,6.4,2.4
2020-01-02,700,0.0,883.4,883.5,883.3,0.0,19.2,17.9,19.3,19.1,17.9,17.5,92.0,90.0,92.0,324.0,6.3,2.2
2020-01-02,800,0.0,884.1,884.1,883.4,0.0,19.3,17.8,19.3,19.2,17.9,17.7,92.0,91.0,91.0,321.0,4.6,1.8
2020-01-02,900,0.0,884.6,884.6,884.1,0.4,19.3,17.9,19.3,19.2,17.9,17.7,92.0,91.0,92.0,320.0,3.6,1.6
2020-01-02,1000,0.0,885.1,885.2,884.6,314.1,20.5,18.5,20.5,19.3,18.6,17.9,92.0,88.0,88.0,302.0,3.3,1.8
2020-01-02,1100,0.0,885.7,885.7,885.1,713.2,21.3,18.1,21.3,20.5,18.6,18.1,88.0,82.0,82.0,299.0,5.8,2.7
